ngram freq
the 976390
to 445950
and 438672
a 432923
of 382463
in 334055
for 173571
that 171501
is 140281
on 131858
with 125987
said 124093
was 113252
he 113042
it 108686
at 105226
as 92407
i 77948
his 77725
from 75537
be 75288
but 75199
have 70962
are 68441
by 65454
an 60854
this 60346
has 59658
not 55669
they 55524
who 54306
will 53413
or 48935
we 48846
you 47399
about 44134
more 43506
their 42896
had 41590
one 41489
when 38910
she 37808
were 36658
up 35643
would 35474
out 35297
new 34851
her 34441
been 32891
all 32514
if 32130
after 30978
which 29934
also 29177
can 28968
than 28825
its 28449
two 28205
it's 27878
what 27746
there 27519
so 27308
year 27051
no 26770
first 26301
just 26206
last 25684
some 25532
time 25388
other 25356
like 24279
into 24167
state 23801
people 23613
years 23144
him 21496
get 21463
do 21150
them 21136
over 21027
my 20817
could 20072
our 19257
because 19212
city 18563
now 17895
most 17589
only 17190
percent 17099
school 16953
how 16837
before 16723
three 16465
back 16449
make 16129
where 16052
says 15688
game 15590
your 15585
going 15361
those 15346
many 14978
million 14967
even 14932
county 14840
good 14665
through 14608
then 14600
home 14373
while 14282
may 14102
way 13915
off 13910
day 13816
team 13774
made 13727
me 13601
police 13547
work 13253
down 13089
much 13061
season 13012
still 13011
any 12805
don't 12599
did 12464
go 12255
think 12239
take 12198
since 11757
know 11717
during 11671
p.m 11657
say 11629
u.s 11554
against 11530
well 11421
being 11275
want 11007
another 11006
right 10915
public 10867
week 10858
see 10797
such 10736
st 10713
four 10683
high 10626
should 10499
got 10475
that's 10427
next 10398
very 10368
play 10029
these 9993
including 9976
us 9833
president 9789
both 9787
center 9786
big 9656
second 9540
best 9511
too 9500
around 9467
house 9409
family 9385
company 9363
really 9299
part 9275
told 9270
lot 9159
little 9147
here 9146
each 9073
money 8980
help 8925
according 8804
every 8693
long 8659
he's 8572
come 8556
need 8504
i'm 8464
under 8456
didn't 8452
never 8428
same 8417
former 8353
place 8334
between 8288
five 8260
left 8241
great 8224
show 8207
night 8085
officials 8081
business 8014
end 7981
until 7969
better 7917
court 7884
few 7839
law 7811
games 7785
group 7705
own 7704
life 7629
world 7581
office 7538
found 7536
put 7507
today 7506
something 7367
came 7342
health 7332
national 7283
federal 7267
run 7235
things 7182
use 7182
days 7154
called 7138
took 7134
district 7127
man 7123
board 7056
students 7056
program 7051
coach 7038
several 7004
might 7002
top 6937
government 6897
case 6893
without 6857
university 6847
set 6805
job 6782
times 6755
later 6723
went 6710
used 6683
department 6607
look 6591
director 6557
friday 6535
community 6514
ago 6477
though 6451
children 6447
early 6447
ohio 6440
past 6407
points 6356
pay 6346
point 6330
tuesday 6319
win 6297
american 6257
away 6253
area 6245
local 6245
park 6243
we're 6237
month 6225
plan 6208
bill 6196
among 6178
six 6178
open 6157
april 6150
keep 6145
members 6139
months 6077
tax 6077
start 6063
road 6060
always 6047
does 6036
thursday 5989
free 5985
san 5974
least 5972
street 5962
enough 5955
call 5940
why 5933
cleveland 5886
third 5880
there's 5869
a.m 5848
monday 5844
york 5812
players 5778
whether 5770
care 5755
find 5737
hit 5737
asked 5736
making 5672
less 5662
small 5662
food 5645
young 5642
