ngram freq
thanks_for_the_follow 45682
thanks_for_the_rt 25441
thank_you_for_the 23297
can't_wait_to_see 20654
is_going_to_be 18713
for_the_first_time 16796
thank_you_so_much 16041
going_to_be_a 15112
the_end_of_the 14184
the_rest_of_the 12812
have_a_great_day 11460
hope_to_see_you 11380
at_the_end_of 11309
if_you_want_to 11249
i_can't_wait_to 10437
at_the_same_time 10416
i_wish_i_could 10376
on_my_way_to 9983
thanks_so_much_for 9880
have_a_great_weekend 9805
one_of_the_best 9748
it's_going_to_be 9473
i_don't_want_to 9251
thanks_for_the_mention 9190
are_you_going_to 9123
looking_forward_to_the 8817
let_me_know_if 8511
i_just_want_to 8024
i_would_love_to 8022
had_a_great_time 8008
thanks_for_the_ff 7967
i_am_going_to 7893
that_awkward_moment_when 7768
is_one_of_the 7763
in_the_middle_of 7743
so_much_for_the 7669
for_the_shout_out 7661
hope_all_is_well 7261
one_of_my_favorite 7138
one_of_the_most 6952
hope_you_have_a 6946
what_do_you_think 6855
i_want_to_be 6772
thanks_for_the_shout 6751
what_are_you_doing 6750
i_wish_i_was 6724
looking_forward_to_it 6603
to_go_to_the 6328
thank_you_for_your 6312
for_the_rest_of 6253
you_so_much_for 6227
can't_wait_for_the 6162
i_thought_it_was 6107
hope_you_had_a 5982
wait_to_see_you 5800
when_it_comes_to 5775
i_have_no_idea 5754
to_be_able_to 5714
i_wish_i_had 5647
i_would_like_to 5615
do_you_have_a 5473
can_i_get_a 5400
thanks_for_the_retweet 5355
looking_forward_to_seeing 5343
i_need_to_get 5331
i_don't_know_what 5321
love_you_so_much 5256
you_have_a_great 5246
i_look_forward_to 5196
happy_mothers_day_to 5170
i_can't_wait_for 5132
i_love_you_so 5116
would_love_to_see 5093
a_lot_of_people 4999
happy_mother's_day_to 4975
me_know_if_you 4943
i_was_going_to 4941
on_the_way_to 4858
let_us_know_if 4797
can't_wait_to_get 4776
want_to_go_to 4771
thanks_for_following_me 4664
the_first_time_in 4659
you_don't_have_to 4653
i_feel_like_i 4621
did_you_know_that 4527
s_o_to_my 4467
nice_to_meet_you 4431
let_me_know_when 4402
awkward_moment_when_you 4391
you_for_the_follow 4369
in_the_u_s 4345
i_want_to_go 4335
forward_to_seeing_you 4333
thank_you_for_following 4302
i'm_going_to_be 4258
the_best_way_to 4247
do_you_want_to 4245
i_want_to_see 4231
if_you_have_a 4223
trying_to_figure_out 4199
going_to_have_to 4194
i_miss_you_too 4190
be_a_part_of 4171
day_to_all_the 4164
great_to_see_you 4155
to_go_back_to 4126
have_a_lot_of 4111
are_going_to_be 4097
as_much_as_i 4068
thanks_to_everyone_who 4048
the_only_one_who 4033
by_the_end_of 4024
thanks_for_all_the 4022
makes_me_want_to 4005
can't_wait_to_hear 3996
you_want_to_be 3917
am_i_the_only 3912
i_don't_know_how 3891
i_love_you_too 3891
we_are_going_to 3879
the_middle_of_the 3871
have_to_go_to 3868
we_look_forward_to 3850
thank_you_to_all 3795
would_you_like_to 3782
a_chance_to_win 3780
keep_up_the_good 3749
to_be_in_the 3721
to_get_out_of 3710
thanks_for_the_support 3688
up_the_good_work 3676
this_is_going_to 3674
i_really_want_to 3647
happy_birthday_to_my 3571
mother's_day_to_all 3511
i'm_looking_forward_to 3506
what_is_your_favorite 3500
just_got_back_from 3492
you_had_a_great 3475
you_please_follow_me 3466
i_have_to_go 3393
if_you_have_any 3388
looking_forward_to_your 3386
in_a_long_time 3380
thank_you_very_much 3379
know_what_you_think 3337
look_forward_to_seeing 3322
i_hate_it_when 3315
i_don't_know_if 3311
to_see_you_there 3310
stuck_in_my_head 3309
i_need_to_go 3307
i_the_only_one 3286
is_it_just_me 3282
i_don't_have_to 3281
you_for_the_rt 3266
you_can_do_it 3262
for_a_chance_to 3252
to_be_a_great 3250
so_proud_of_you 3214
thanks_for_the_love 3211
have_no_idea_what 3209
thanks_for_following_us 3206
the_top_of_the 3198
i_feel_like_i'm 3183
in_front_of_me 3177
do_you_have_any 3176
looking_forward_to_a 3130
you_don't_want_to 3129
to_talk_to_you 3120
should_be_able_to 3083
i_want_to_do 3080
i_don't_even_know 3078
it_was_a_great 3076
have_a_great_time 3073
thanks_to_all_who 3067
great_to_meet_you 3063
end_of_the_day 3061
i_don't_know_why 3041
know_what_to_do 3016
i_thought_i_was 3008
i_don't_have_a 2999
don't_know_how_to 2990
a_great_way_to 2983
in_the_united_states 2980
be_a_good_day 2971
in_front_of_the 2965
have_a_great_week 2963
was_one_of_the 2963
have_a_good_day 2961
how_much_i_love 2951
i_don't_think_i 2942
good_to_see_you 2932
to_everyone_who_came 2929
i_feel_like_a 2926
figure_out_how_to 2908
is_one_of_my 2908
will_be_at_the 2864
wish_i_could_be 2856
as_long_as_you 2854
let_me_know_what 2850
see_you_at_the 2833
we_would_love_to 2817
i_really_need_to 2788
it_just_me_or 2783
a_lot_of_fun 2780
to_be_a_good 2777
as_soon_as_i 2776
for_a_long_time 2754
to_be_a_part 2747
to_check_it_out 2744
us_know_if_you 2738
you_are_going_to 2735
wait_to_see_the 2723
how_have_you_been 2720
thank_you_for_all 2720
a_great_time_at 2708
it's_gonna_be_a 2687
nothing_to_do_with 2687
i_love_it_when 2659
to_get_back_to 2658
mothers_day_to_all 2653
had_a_great_day 2643
thanks_for_the_rts 2643
hope_everyone_had_a 2633
you_i_love_you 2631
i_have_to_say 2626
thanks_for_the_tweet 2622
not_the_only_one 2620
i_had_no_idea 2615
i'm_not_going_to 2611
to_hear_from_you 2608
to_see_you_at 2605
wish_i_had_a 2600
m_to_p_m 2597
you_have_to_be 2597
the_only_way_to 2588
one_of_my_favorites 2587
i_hope_you_have 2584
to_all_of_the 2583
the_rest_of_my 2577
everyone_who_came_out 2569
to_go_to_sleep 2569
to_see_you_in 2568
what_do_you_do 2568
to_be_on_the 2556
and_thanks_for_the 2555
i'll_let_you_know 2555
please_follow_me_i 2543
this_is_why_i 2537
for_the_follow_i 2525
cant_wait_to_see 2523
the_bottom_of_the 2486
i_hate_when_people 2485
see_if_i_can 2484
getting_ready_for_the 2482
the_last_day_of 2482
be_one_of_the 2470
going_to_be_the 2469
how_are_you_doing 2468
i_have_a_feeling 2466
will_be_able_to 2464
if_i_had_a 2456
a_big_fan_of 2452
not_a_fan_of 2451
for_the_follow_and 2449
keep_up_the_great 2444
you_want_me_to 2443
are_you_coming_to 2442
there_are_so_many 2430
let_us_know_what 2423
for_the_kind_words 2416
won't_be_able_to 2390
at_the_top_of 2385
hope_you're_having_a 2369
was_going_to_be 2365
i_will_be_there 2360
to_figure_out_how 2351
thank_you_thank_you 2328
want_to_be_a 2316
for_the_heads_up 2311
i_had_a_great 2309
going_to_have_a 2303
up_the_great_work 2298
a_m_to_p 2295
we_can't_wait_to 2294
thanks_for_your_support 2289
it_was_great_to 2288
wish_i_was_there 2285
i_get_to_see 2283
if_you_don't_have 2280
to_check_out_the 2279
back_in_the_day 2272
i_love_you_i 2272
it_was_a_good 2264
i_think_i_have 2261
love_to_have_you 2259
i_thought_you_were 2254
to_all_my_new 2254
quote_of_the_day 2239
i_have_to_be 2236
i_love_you_and 2235
a_m_p_m 2225
don't_know_what_to 2221
a_part_of_the 2220
thanks_for_the_great 2219
on_the_other_hand 2215
you_had_a_good 2210
i_need_to_start 2208
its_going_to_be 2206
sorry_to_hear_that 2206
it_would_be_a 2204
some_of_the_best 2201
don't_want_to_be 2199
the_only_thing_that 2198
thank_you_for_being 2197
gonna_be_a_good 2196
know_if_you_need 2196
the_first_time_i 2196
need_to_go_to 2193
will_be_in_the 2191
but_i_have_to 2189
think_i'm_going_to 2188
please_let_me_know 2185
so_i_can_get 2184
said_in_a_statement 2176
there_will_be_a 2169
for_a_few_days 2167
had_so_much_fun 2167
to_go_to_school 2165
to_be_the_best 2158
glad_to_hear_it 2152
we_had_a_great 2150
to_see_you_again 2147
have_a_wonderful_day 2142
to_go_to_bed 2136
happy_birthday_to_the 2134
i_used_to_be 2134
can_you_follow_me 2132
when_i_was_a 2132
you_have_no_idea 2123
going_to_be_in 2122
and_the_rest_of 2121
want_to_talk_to 2120
a_member_of_the 2118
just_wanted_to_say 2118
when_i_get_home 2118
you_have_a_good 2117
check_out_the_new 2113
it_will_be_a 2113
the_last_time_i 2108
i_wanna_go_to 2106
i_want_you_to 2106
thanks_for_the_tip 2106
i_just_wanted_to 2102
tip_of_the_day 2101
get_out_of_the 2098
think_like_a_man 2082
i'm_in_love_with 2080
in_the_near_future 2080
thanks_for_the_heads 2079
love_to_see_you 2073
thank_you_for_sharing 2067
turned_out_to_be 2065
best_of_luck_to 2062
i_just_finished_a 2059
what_a_beautiful_day 2051
you_are_the_best 2051
glad_you_like_it 2049
to_be_part_of 2048
glad_you_liked_it 2043
forward_to_your_tweets 2042
to_all_of_our 2042
a_little_bit_of 2039
you_know_what_i 2039
s_o_to_for 2038
do_i_have_to 2037
to_see_you_soon 2031
all_i_want_is 2028
if_you're_going_to 2026
all_the_way_to 2019
shout_out_to_the 2018
on_the_other_side 2015
be_able_to_get 2014
not_going_to_be 2011
so_much_for_your 2010
i_need_to_be 2004
give_us_a_call 2003
let_you_know_when 2002
in_love_with_you 1997
thanks_for_the_kind 1996
there_are_a_lot 1996
i_am_so_excited 1994
what_is_going_on 1994
sure_to_check_out 1992
i_need_a_new 1991
rest_of_the_day 1988
to_learn_how_to 1988
have_no_idea_how 1984
if_you_are_a 1984
what_are_your_plans 1978
can't_wait_to_be 1977
so_much_to_do 1975
thank_you_to_everyone 1974
in_the_first_place 1973
thanks_for_a_great 1973
the_world_to_me 1972
wish_i_could_have 1972
up_in_the_morning 1969
you_have_to_do 1966
how_i_feel_about 1964
we_need_to_get 1964
to_see_you_on 1962
hope_everyone_has_a 1960
this_time_of_year 1951
not_being_able_to 1950
s_o_to_the 1948
to_get_to_the 1948
the_name_of_the 1942
going_to_be_at 1940
to_hang_out_with 1934
the_first_time_since 1934
all_over_the_place 1930
you_going_to_be 1929
really_looking_forward_to 1924
my_way_to_the 1922
to_go_to_work 1920
at_the_university_of 1913
i_feel_bad_for 1913
all_my_new_followers 1911
you_can_make_it 1910
time_for_me_to 1909
just_let_me_know 1906
don't_have_to_be 1905
might_be_able_to 1904
on_our_way_to 1904
way_to_start_the 1901
how_many_of_you 1898
rt_thanks_for_the 1897
i_think_i_might 1893
a_mi_run_with 1891
finished_a_mi_run 1891
i_dont_want_to 1891
just_finished_a_mi 1891
to_get_rid_of 1889
am_i_supposed_to 1884
the_rest_of_your 1883
why_is_it_that 1883
i_need_to_do 1882
feel_the_same_way 1881
rt_if_you_love 1874
if_i_have_to 1873
i_cant_wait_to 1871
s_o_to_all 1870
if_you_want_a 1868
would_love_to_have 1864
i_was_able_to 1863
but_i_don't_think 1862
i_just_have_to 1860
had_a_great_weekend 1858
me_so_i_can 1857
shout_out_to_my 1857
what_did_you_think 1856
can_you_please_follow 1851
to_see_you_guys 1851
wait_to_see_it 1851
we_are_looking_for 1851
chance_to_win_a 1849
i_don't_know_about 1848
the_first_day_of 1847
was_supposed_to_be 1845
i_had_a_dream 1841
hey_thanks_for_the 1840
a_shout_out_to 1839
to_let_you_know 1839
i_love_you_guys 1837
us_know_what_you 1836
i_have_to_do 1834
how_do_i_get 1833
find_a_way_to 1828
take_a_look_at 1828
i'm_not_the_only 1824
sounds_like_a_great 1824
and_i_will_be 1817
thanks_for_the_info 1817
much_for_the_follow 1816
just_in_time_for 1815
get_a_chance_to 1812
in_the_first_half 1812
all_is_well_with 1805
i'm_so_proud_of 1805
are_a_lot_of 1804
you_for_the_ff 1803
in_the_first_round 1800
the_awkward_moment_when 1800
word_of_the_day 1800
happy_cinco_de_mayo 1797
i_think_i_need 1797
me_i_love_you 1795
are_you_talking_about 1791
to_be_at_the 1785
had_a_good_time 1779
most_of_the_time 1779
i_don't_get_it 1772
we_hope_to_see 1769
follow_me_i_love 1768
and_i_love_it 1767
a_good_way_to 1765
and_thank_you_for 1765
make_it_to_the 1764
i_was_a_kid 1759
when_you_get_a 1758
thanks_for_coming_out 1751
will_let_you_know 1751
are_you_ready_for 1749
you_have_any_questions 1749
be_sure_to_check 1748
would_love_to_hear 1747
what_do_you_mean 1746
do_i_need_to 1745
getting_ready_to_go 1744
as_part_of_the 1743
for_the_follow_back 1743
in_the_midst_of 1743
one_of_those_days 1743
that_moment_when_you 1741
who_is_going_to 1739
i'd_like_to_see 1738
know_if_you_have 1737
i_have_so_much 1735
to_take_care_of 1735
in_the_morning_and 1733
to_be_one_of 1733
and_i_love_you 1732
all_i_can_say 1731
i_think_i'm_going 1730
let_me_know_how 1728
i_don't_give_a 1727
thx_for_the_follow 1727
thanks_to_all_the 1720
me_know_what_you 1718
please_please_please_please 1717
thanks_for_sharing_the 1716
sounds_like_a_good 1715
one_of_these_days 1711
o_to_my_new 1706
had_a_chance_to 1705
i_have_a_lot 1702
can't_wait_to_go 1701
much_for_the_rt 1701
you_would_like_to 1701
i_think_i_am 1697
did_you_see_the 1696
just_got_home_from 1696
cake_cake_cake_cake 1695
the_rest_of_us 1691
go_back_to_sleep 1690
today_is_the_day 1690
glad_you_enjoyed_it 1689
a_few_years_ago 1688
so_excited_to_see 1686
i'm_going_to_have 1683
for_all_of_the 1681
in_love_with_the 1676
wait_to_see_what 1671
follow_us_on_twitter 1669
check_out_our_new 1665
to_come_up_with 1662
do_you_think_about 1660
every_time_i_see 1660
and_i_want_to 1659
me_know_when_you 1658
it's_been_a_long 1657
it_is_going_to 1657
the_back_of_the 1656
you_want_to_see 1655
the_best_part_of 1654
once_in_a_while 1653
to_my_new_followers 1653
as_well_as_the 1652
this_is_the_first 1650
hope_you_feel_better 1649
i'm_on_my_way 1647
what_to_do_with 1647
i_hate_when_i 1639
you_for_the_mention 1638
did_a_great_job 1632
the_way_to_the 1628
i_get_a_follow 1624
there's_a_lot_of 1624
you_for_your_support 1624
i_could_be_there 1623
i'll_check_it_out 1622
the_start_of_the 1619
in_front_of_you 1616
no_such_thing_as 1616
thanks_to_for_the 1615
i_can't_wait_until 1615
am_looking_forward_to 1608
makes_me_feel_like 1607
good_to_be_back 1604
for_a_couple_of 1603
for_the_follow_we 1602
thanks_for_letting_me 1602
where_have_you_been 1600
i_didn't_know_you 1599
keep_an_eye_out 1599
this_is_gonna_be 1599
don't_know_if_i 1596
great_way_to_start 1596
been_a_long_time 1591
why_is_it_so 1591
i_can't_believe_i 1590
mean_the_world_to 1589
wish_i_could_go 1587
what_do_you_want 1586
in_the_block_of 1586
i_think_it_was 1584
now_i_have_to 1582
i_want_to_know 1580
happy_new_year_to 1578
it's_a_beautiful_day 1577
in_the_process_of 1576
when_are_you_coming 1576
you_so_much_i 1576
would_be_a_good 1574
dancing_with_the_stars 1573
i_am_trying_to 1571
great_time_at_the 1570
for_the_follow_hope 1568
in_a_few_hours 1568
do_you_have_to 1567
i_agree_with_you 1565
a_lot_of_things 1564
you_look_like_a 1564
in_the_mood_for 1559
if_you_are_interested 1557
we_need_to_talk 1557
you_and_your_family 1556
one_of_the_few 1554
the_other_side_of 1554
have_a_good_night 1553
sounds_like_a_plan 1552
you_think_of_the 1551
know_if_i_can 1550
should_be_a_good 1550
to_do_with_the 1549
the_beginning_of_the 1548
thanks_for_the_link 1547
i_don't_feel_like 1543
do_not_want_to 1541
if_you_don't_like 1541
fell_in_love_with 1540
you_will_be_missed 1539
a_bit_of_a 1538
i_have_to_get 1538
in_the_back_of 1538
you_want_to_go 1536
to_be_back_in 1535
had_a_lot_of 1533
to_keep_up_with 1533
in_the_way_of 1532
to_all_of_you 1532
when_you_have_a 1532
who_do_you_think 1532
glad_to_see_you 1529
i_need_to_make 1527
you_just_have_to 1526
is_looking_for_a 1525
in_a_few_days 1522
have_a_good_one 1520
to_go_to_a 1520
have_a_good_weekend 1519
i_want_to_get 1519
in_a_few_weeks 1517
you_get_a_chance 1514
to_talk_to_me 1511
let_us_know_how 1510
i_was_trying_to 1507
i_have_a_new 1506
you_need_to_get 1506
fall_in_love_with 1505
has_nothing_to_do 1504
in_need_of_a 1504
what_are_you_up 1502
have_you_seen_the 1501
so_so_so_so 1500
in_the_world_is 1499
a_long_time_ago 1498
thanks_for_the_shoutout 1498
who_wants_to_go 1497
if_you_don't_know 1496
martin_luther_king_jr 1495
hour_and_a_half 1494
everyone_is_having_a 1493
going_to_be_an 1492
are_you_looking_for 1491
hope_everyone_is_having 1490
i_am_not_a 1489
i_think_it_is 1489
we_would_like_to 1489
happy_4th_of_july 1487
know_what_that_means 1486
a_part_of_it 1485
to_catch_up_on 1485
today_is_going_to 1485
would_mean_the_world 1485
we're_looking_forward_to 1484
it_would_mean_the 1478
i_can_say_is 1474
i_will_have_to 1471
looking_forward_to_meeting 1471
thinking_the_same_thing 1471
to_be_in_a 1470
don't_want_to_go 1469
have_a_blessed_day 1469
i_can_help_you 1469
have_a_chance_to 1461
if_there_is_a 1459
so_i_can_go 1459
for_the_follow_love 1458
of_the_u_s 1458
to_look_forward_to 1458
i_think_i_just 1457
i_haven't_been_on 1456
you_want_to_do 1455
on_this_day_in 1453
in_the_mood_to 1452
